frame,x,y,visible
0,-1.0,-1.0,0
1,-1.0,-1.0,0
2,-1.0,-1.0,0
3,-1.0,-1.0,0
4,-1.0,-1.0,0
5,-1.0,-1.0,0
6,-1.0,-1.0,0
7,-1.0,-1.0,0
8,-1.0,-1.0,0
9,-1.0,-1.0,0
10,-1.0,-1.0,0
11,-1.0,-1.0,0
12,-1.0,-1.0,0
13,-1.0,-1.0,0
14,-1.0,-1.0,0
15,-1.0,-1.0,0
16,-1.0,-1.0,0
17,-1.0,-1.0,0
18,-1.0,-1.0,0
19,-1.0,-1.0,0
20,-1.0,-1.0,0
21,-1.0,-1.0,0
22,-1.0,-1.0,0
23,-1.0,-1.0,0
24,-1.0,-1.0,0
25,-1.0,-1.0,0
26,-1.0,-1.0,0
27,-1.0,-1.0,0
28,-1.0,-1.0,0
29,1241.526666666666,605.490909090909,1
30,-1.0,-1.0,0
31,1236.0866666666664,534.9893939393938,1
32,-1.0,-1.0,0
33,1235.3085714285712,480.76212121212114,1
34,1239.1923809523807,442.80909090909086,1
35,1247.7380952380934,421.13030303030246,1
36,-1.0,-1.0,0
37,1267.764935064933,434.2186147186141,1
38,-1.0,-1.0,0
39,-1.0,-1.0,0
40,-1.0,-1.0,0
41,-1.0,-1.0,0
42,-1.0,-1.0,0
43,-1.0,-1.0,0
44,-1.0,-1.0,0
45,-1.0,-1.0,0
46,-1.0,-1.0,0
47,1286.274458874457,442.27012987012927,1
48,1302.6264069264048,456.81861471861407,1
49,1315.1887445887428,474.9064935064928,1
50,1322.4363636363619,495.92034632034563,1
51,1322.4502164502146,512.0562770562763,1
52,1327.3056277056257,535.8454545454538,1
53,1331.7722943722924,553.7056277056269,1
54,1335.3714285714268,579.1207792207783,1
55,1339.5142857142837,560.100432900432,1
56,1342.9467532467513,529.4519480519473,1
57,1345.704329004327,497.78095238095165,1
58,-1.0,-1.0,0
59,-1.0,-1.0,0
60,-1.0,-1.0,0
61,1350.6311688311666,475.48398268398205,1
62,1346.7294372294352,470.25800865800795,1
63,1336.805194805193,487.98484848484776,1
64,1322.9354978354959,517.5329004328997,1
65,-1.0,-1.0,0
66,-1.0,-1.0,0
67,-1.0,-1.0,0
68,-1.0,-1.0,0
69,-1.0,-1.0,0
70,-1.0,-1.0,0
71,-1.0,-1.0,0
72,-1.0,-1.0,0
73,-1.0,-1.0,0
74,-1.0,-1.0,0
75,-1.0,-1.0,0
76,-1.0,-1.0,0
77,-1.0,-1.0,0
78,-1.0,-1.0,0
79,-1.0,-1.0,0
80,1306.5987012986996,557.196969696969,1
81,1292.2207792207773,557.4406926406919,1
82,1280.9515151515134,558.9701298701291,1
83,1269.313852813851,558.1588744588737,1
84,1277.5891774891757,549.648484848484,1
85,1279.5428571428552,545.8095238095231,1
86,1278.9562770562752,546.222943722943,1
87,1276.352380952379,549.7792207792199,1
88,-1.0,-1.0,0
89,1271.152380952379,555.8337662337653,1
90,-1.0,-1.0,0
91,-1.0,-1.0,0
92,1263.4593073593055,563.087878787878,1
93,1254.022510822509,569.5757575757567,1
94,-1.0,-1.0,0
95,1240.9740259740242,576.783116883116,1
96,-1.0,-1.0,0
97,1241.4173160173143,576.8203463203454,1
98,-1.0,-1.0,0
99,1236.5333333333315,578.3870129870122,1
100,-1.0,-1.0,0
101,-1.0,-1.0,0
102,-1.0,-1.0,0
103,1237.2779220779203,577.8411255411247,1
104,-1.0,-1.0,0
105,1223.062337662336,590.8043290043281,1
106,-1.0,-1.0,0
107,1214.1757575757558,581.4896103896094,1
108,-1.0,-1.0,0
109,1199.1199134199117,577.6259740259732,1
110,-1.0,-1.0,0
111,-1.0,-1.0,0
112,-1.0,-1.0,0
113,-1.0,-1.0,0
114,-1.0,-1.0,0
115,-1.0,-1.0,0
116,-1.0,-1.0,0
117,-1.0,-1.0,0
118,-1.0,-1.0,0
119,-1.0,-1.0,0
120,-1.0,-1.0,0
121,-1.0,-1.0,0
122,-1.0,-1.0,0
123,-1.0,-1.0,0
124,-1.0,-1.0,0
125,-1.0,-1.0,0
126,-1.0,-1.0,0
127,-1.0,-1.0,0
128,-1.0,-1.0,0
129,-1.0,-1.0,0
130,-1.0,-1.0,0
131,-1.0,-1.0,0
132,-1.0,-1.0,0
133,-1.0,-1.0,0
134,-1.0,-1.0,0
135,-1.0,-1.0,0
136,-1.0,-1.0,0
137,-1.0,-1.0,0
138,-1.0,-1.0,0
139,-1.0,-1.0,0
140,-1.0,-1.0,0
141,1183.019047619046,577.1930735930728,1
142,-1.0,-1.0,0
143,1163.275757575756,582.2160173160164,1
144,-1.0,-1.0,0
145,1141.1571428571413,591.531168831168,1
146,-1.0,-1.0,0
147,1122.1207792207776,603.0493506493498,1
148,-1.0,-1.0,0
149,-1.0,-1.0,0
150,-1.0,-1.0,0
151,-1.0,-1.0,0
152,-1.0,-1.0,0
153,-1.0,-1.0,0
154,1107.2034632034618,616.6329004328995,1
155,-1.0,-1.0,0
156,-1.0,-1.0,0
157,-1.0,-1.0,0
158,-1.0,-1.0,0
159,-1.0,-1.0,0
160,-1.0,-1.0,0
161,1081.9536796536781,637.2359307359299,1
162,-1.0,-1.0,0
163,1070.8857142857128,632.1999999999991,1
164,-1.0,-1.0,0
165,-1.0,-1.0,0
166,-1.0,-1.0,0
167,-1.0,-1.0,0
168,-1.0,-1.0,0
169,-1.0,-1.0,0
170,-1.0,-1.0,0
171,1062.1705627705612,634.9658008657999,1
172,-1.0,-1.0,0
173,1051.368398268397,638.4839826839818,1
174,1037.359307359306,643.0367965367957,1
175,-1.0,-1.0,0
176,-1.0,-1.0,0
177,-1.0,-1.0,0
178,1022.3120779220775,647.1462770562767,1
179,-1.0,-1.0,0
180,-1.0,-1.0,0
181,-1.0,-1.0,0
182,-1.0,-1.0,0
183,-1.0,-1.0,0
184,-1.0,-1.0,0
185,-1.0,-1.0,0
186,-1.0,-1.0,0
187,-1.0,-1.0,0
188,-1.0,-1.0,0
189,-1.0,-1.0,0
190,-1.0,-1.0,0
191,-1.0,-1.0,0
192,-1.0,-1.0,0
193,-1.0,-1.0,0
194,-1.0,-1.0,0
195,-1.0,-1.0,0
196,-1.0,-1.0,0
197,-1.0,-1.0,0
198,-1.0,-1.0,0
199,-1.0,-1.0,0
200,-1.0,-1.0,0
