frame,x,y,visible
0,-1.0,-1.0,0
1,-1.0,-1.0,0
2,1229.5521212121212,868.3254545454535,1
3,-1.0,-1.0,0
4,-1.0,-1.0,0
5,-1.0,-1.0,0
6,-1.0,-1.0,0
7,-1.0,-1.0,0
8,-1.0,-1.0,0
9,-1.0,-1.0,0
10,-1.0,-1.0,0
11,-1.0,-1.0,0
12,-1.0,-1.0,0
13,-1.0,-1.0,0
14,-1.0,-1.0,0
15,-1.0,-1.0,0
16,1226.8163636363636,901.9630303030295,1
17,-1.0,-1.0,0
18,-1.0,-1.0,0
19,-1.0,-1.0,0
20,-1.0,-1.0,0
21,-1.0,-1.0,0
22,-1.0,-1.0,0
23,-1.0,-1.0,0
24,-1.0,-1.0,0
25,1223.7141558441558,912.5746320346315,1
26,-1.0,-1.0,0
27,-1.0,-1.0,0
28,-1.0,-1.0,0
29,-1.0,-1.0,0
30,-1.0,-1.0,0
31,-1.0,-1.0,0
32,-1.0,-1.0,0
33,-1.0,-1.0,0
34,-1.0,-1.0,0
35,1220.2454978354976,900.1602597402593,1
36,1216.410389610388,864.7199134199121,1
37,-1.0,-1.0,0
38,-1.0,-1.0,0
39,-1.0,-1.0,0
40,-1.0,-1.0,0
41,-1.0,-1.0,0
42,-1.0,-1.0,0
43,-1.0,-1.0,0
44,-1.0,-1.0,0
45,-1.0,-1.0,0
46,-1.0,-1.0,0
47,-1.0,-1.0,0
48,-1.0,-1.0,0
49,-1.0,-1.0,0
50,-1.0,-1.0,0
51,-1.0,-1.0,0
52,-1.0,-1.0,0
53,-1.0,-1.0,0
54,-1.0,-1.0,0
55,1216.0999999999983,799.5606060606049,1
56,1214.3415584415566,709.7679653679644,1
57,1214.61818181818,612.1891774891767,1
58,-1.0,-1.0,0
59,-1.0,-1.0,0
60,-1.0,-1.0,0
61,1190.5458874458857,535.8601731601724,1
62,1179.170562770561,485.83722943722876,1
63,1172.549350649349,448.34675324675266,1
64,1174.667965367964,440.9329004328998,1
65,1180.22857142857,454.7757575757569,1
66,1182.5619047619032,454.0744588744582,1
67,1184.4432900432885,456.0519480519474,1
68,1186.5545454545436,458.81861471861407,1
69,1188.513852813851,463.08614718614655,1
70,-1.0,-1.0,0
71,1190.427272727271,469.670995670995,1
72,1191.8783549783532,477.3658008658001,1
73,1193.5480519480502,485.99740259740184,1
74,1194.84502164502,496.914285714285,1
75,1196.1406926406908,510.548917748917,1
76,1197.2476190476173,526.6428571428564,1
77,1198.9385281385264,536.8593073593065,1
78,1193.8437229437209,539.8649350649342,1
79,1199.5818181818165,536.3307359307352,1
80,1219.9359307359289,528.4103896103888,1
81,-1.0,-1.0,0
82,1241.8640692640674,506.09307359307286,1
83,-1.0,-1.0,0
84,1261.3380952380935,479.19004329004264,1
85,1275.7095238095221,454.33419913419846,1
86,-1.0,-1.0,0
87,-1.0,-1.0,0
88,-1.0,-1.0,0
89,-1.0,-1.0,0
90,-1.0,-1.0,0
91,-1.0,-1.0,0
92,-1.0,-1.0,0
93,-1.0,-1.0,0
94,-1.0,-1.0,0
95,-1.0,-1.0,0
96,-1.0,-1.0,0
97,-1.0,-1.0,0
98,-1.0,-1.0,0
99,-1.0,-1.0,0
100,-1.0,-1.0,0
101,-1.0,-1.0,0
102,-1.0,-1.0,0
103,-1.0,-1.0,0
104,-1.0,-1.0,0
105,-1.0,-1.0,0
106,-1.0,-1.0,0
107,1282.2606060606045,436.6558441558435,1
108,1278.8506493506475,425.6809523809518,1
109,-1.0,-1.0,0
110,1263.362337662336,423.1692640692635,1
111,1256.3160173160154,431.3134199134193,1
112,-1.0,-1.0,0
113,1256.3090909090893,450.5766233766227,1
114,1253.2177489177473,464.35930735930674,1
115,-1.0,-1.0,0
116,1250.0593073593054,479.69480519480453,1
117,1246.5757575757557,498.8571428571422,1
118,1242.822943722942,520.7857142857135,1
119,1239.3952380952364,541.0298701298693,1
120,1237.4489177489158,554.6900432900425,1
121,1236.9558441558424,562.0484848484841,1
122,1237.2982683982666,563.4722943722936,1
123,1238.7298701298682,557.6519480519473,1
124,-1.0,-1.0,0
125,1241.204329004327,549.6865800865793,1
126,1243.7948051948033,545.7320346320339,1
127,1246.014285714284,544.6740259740252,1
128,-1.0,-1.0,0
129,1247.974458874457,545.5203463203455,1
130,1250.2857142857124,548.8467532467524,1
131,1252.3818181818165,554.778787878787,1
132,1254.1623376623356,562.3021645021637,1
133,1255.640692640691,569.8030303030295,1
134,1257.5515151515133,575.8796536796528,1
135,1259.7943722943705,580.3965367965359,1
136,1261.7294372294355,581.8073593073584,1
137,-1.0,-1.0,0
138,-1.0,-1.0,0
139,1263.435064935063,582.931601731601,1
140,1264.9861471861452,584.3086580086572,1
141,1266.257142857141,585.727272727272,1
142,1267.644155844154,588.7316017316009,1
143,1268.5112554112534,592.1731601731593,1
144,-1.0,-1.0,0
145,1269.704329004327,595.3194805194796,1
146,1270.9363636363619,597.7848484848475,1
147,1271.9112554112535,599.1017316017308,1
148,1272.9679653679636,601.2290043290034,1
149,1274.343722943721,603.1683982683974,1
150,-1.0,-1.0,0
151,1276.1199134199117,604.7792207792199,1
152,1278.3735930735913,606.7406926406918,1
153,-1.0,-1.0,0
154,1280.2645021645003,608.9666666666658,1
155,-1.0,-1.0,0
156,1282.183982683981,611.02251082251,1
157,1283.7696969696951,612.7073593073585,1
158,-1.0,-1.0,0
159,1284.9922077922058,613.6095238095229,1
160,1286.2450216450197,614.5333333333324,1
161,-1.0,-1.0,0
162,1287.7632034632015,615.6493506493497,1
163,1289.161038961037,617.057142857142,1
164,-1.0,-1.0,0
165,1290.7471861471843,618.5056277056268,1
166,1292.4380952380934,620.0601731601723,1
167,-1.0,-1.0,0
168,1294.0445887445867,621.5779220779211,1
169,1295.4852813852794,622.9688311688303,1
170,-1.0,-1.0,0
171,-1.0,-1.0,0
172,-1.0,-1.0,0
173,1296.8515151515132,624.374458874458,1
174,-1.0,-1.0,0
175,1298.3900432900414,625.8636363636355,1
176,-1.0,-1.0,0
177,1299.9632034632018,627.7424242424233,1
178,-1.0,-1.0,0
179,1301.512987012985,629.5277056277048,1
180,-1.0,-1.0,0
181,1303.3497835497817,631.043722943722,1
182,-1.0,-1.0,0
183,1304.5943722943703,632.1186147186138,1
